Mes,Visualizaciones,Conversión Suscriptores,Dólares
1,17229.0,361.809,361.809
2,34458.0,723.618,723.618
3,153571.0,3224.991,3224.991
4,190476.19047619047,4000.0,4000.0
5,238095.23809523808,5000.0,5000.0
6,333333.3333333333,7000.0,7000.0
7,409523.8095238095,8600.0,17200.0
8,571428.5714285714,12000.0,28863.0
9,714285.7142857142,15000.0,39728.025
10,952380.9523809523,20000.0,57609.0
11,1228571.4285714284,25799.999999999996,77399.99999999999
12,1428572.0,30000.012000000002,91950.0
13,1904761.9047619046,40000.0,128585.0
14,2380952.3809523806,49999.99999999999,167852.0
15,2619047.619047619,55000.0,188408.0
16,2857142.857142857,60000.0,209545.0
17,3095238.095238095,65000.0,231239.0
18,3333333.333333333,70000.0,253463.00000000003
19,3571428.5714285714,75000.0,277196.0
20,3809523.8095238092,80000.0,299412.0
21,4047619.0476190476,85000.0,323089.0
22,4285714.285714285,90000.0,347203.0
23,4523809.523809523,95000.0,371732.0
24,4914286.0,103200.00600000001,412800.02400000003
